Date,Region,Latitude,Longitude,Plastic_Type,Plastic_Weight_kg,Depth_meters
2015-01-01 00:00:00,Arctic Ocean,-58.45962737,-169.6264556,polyethylene terephthalate (pet),41.93,73.09
2015-01-01 01:00:00,Southern Ocean,49.44989207,77.31985156,polyethylene (pe),403.38,71.21
2015-01-01 02:00:00,Indian Ocean,80.42241101,130.332581,polyethylene terephthalate (pet),241.7,19.53
2015-01-01 03:00:00,Southern Ocean,-71.92072478,58.00356276,polyethylene terephthalate (pet),482.76,69.72
2015-01-01 04:00:00,Southern Ocean,-61.99374161,-169.0112823,polyethylene terephthalate (pet),58.75,58.14
2015-01-01 05:00:00,Atlantic Ocean,82.80227831,128.8510374,polyethylene (pe),66.73,85.01
2015-01-01 06:00:00,Indian Ocean,-83.19884007,83.68700866,polystyrene (ps),174.35,62.48
2015-01-01 07:00:00,Indian Ocean,85.97382058,-43.75752751,polyethylene (pe),103.46,14.63
2015-01-01 08:00:00,Indian Ocean,-89.16399304,-61.69310701,polypropylene (pp),348.33,31.85
2015-01-01 09:00:00,Southern Ocean,67.26035802,-7.264734693,polystyrene (ps),473.41,74.38
2015-01-01 10:00:00,Arctic Ocean,-34.68146742,132.1566303,polyethylene (pe),45.04,74.0
2015-01-01 11:00:00,Indian Ocean,78.94599447,-89.25863333,polypropylene (pp),121.19,22.27
2015-01-01 12:00:00,Southern Ocean,-32.94984805,-143.653028,polypropylene (pp),119.03,35.46
2015-01-01 13:00:00,Atlantic Ocean,27.77513788,131.2690943,polyvinyl chloride (pvc),254.59,1.53
2015-01-01 14:00:00,Arctic Ocean,-75.59413744,-170.5356544,polyvinyl chloride (pvc),226.07,33.17
2015-01-01 15:00:00,Atlantic Ocean,-46.38063394,147.958928,polyethylene terephthalate (pet),363.46,2.63
2015-01-01 16:00:00,Arctic Ocean,49.26228237,-69.93173005,polystyrene (ps),366.34,87.29
2015-01-01 17:00:00,Southern Ocean,5.163453662,2.960172608,polyethylene (pe),286.42,66.66
2015-01-01 18:00:00,Pacific Ocean,77.03443112,-132.3736111,polyethylene terephthalate (pet),295.55,96.91
2015-01-01 19:00:00,Arctic Ocean,-12.8247465,144.811789,polystyrene (ps),421.17,89.19
2015-01-01 20:00:00,Atlantic Ocean,66.56622585,89.94104042,polyvinyl chloride (pvc),198.53,60.35
2015-01-01 21:00:00,Southern Ocean,-9.188021254,152.6960112,polyethylene (pe),6.27,50.29
2015-01-01 22:00:00,Arctic Ocean,86.26469017,65.9624584,polypropylene (pp),106.59,88.37
2015-01-01 23:00:00,Pacific Ocean,82.77018865,-113.5102404,polypropylene (pp),17.78,29.84
2015-02-01 00:00:00,Pacific Ocean,-30.755393,-69.02387892,polyethylene terephthalate (pet),196.81,22.35
2015-02-01 01:00:00,Indian Ocean,69.46626068,-4.734512963,polyethylene terephthalate (pet),178.98,41.0
2015-02-01 02:00:00,Indian Ocean,62.57004736,38.61295393,polyethylene (pe),49.41,5.32
2015-02-01 03:00:00,Atlantic Ocean,-52.07752848,153.5253974,polypropylene (pp),377.54,30.2
2015-02-01 04:00:00,Arctic Ocean,22.37227214,-41.77747232,polyethylene terephthalate (pet),276.58,8.37
2015-02-01 05:00:00,Arctic Ocean,-76.91718319,73.10592789,polypropylene (pp),112.93,5.27
2015-02-01 06:00:00,Indian Ocean,60.60792971,165.9631856,polyvinyl chloride (pvc),379.59,55.13
2015-02-01 07:00:00,Arctic Ocean,-58.58174097,-125.1453372,polyethylene terephthalate (pet),334.0,70.82
2015-02-01 08:00:00,Arctic Ocean,-77.25335375,130.575452,polystyrene (ps),95.88,53.67
2015-02-01 09:00:00,Pacific Ocean,-17.9605628,-28.54581466,polyethylene terephthalate (pet),491.45,7.06
2015-02-01 10:00:00,Indian Ocean,13.84598495,83.67183933,polyvinyl chloride (pvc),88.8,39.5
2015-02-01 11:00:00,Southern Ocean,63.88505254,-74.32619805,polyethylene (pe),385.87,11.1
2015-02-01 12:00:00,Indian Ocean,85.36365459,-59.76568142,polypropylene (pp),484.15,65.01
2015-02-01 13:00:00,Southern Ocean,-10.89134774,-170.232039,polyethylene (pe),362.78,82.64
2015-02-01 14:00:00,Pacific Ocean,-79.11955386,169.7054951,polyethylene terephthalate (pet),332.92,11.67
2015-02-01 15:00:00,Atlantic Ocean,44.84080422,112.8429271,polystyrene (ps),451.67,6.69
2015-02-01 16:00:00,Arctic Ocean,11.73118612,-146.1895351,polyethylene (pe),134.64,40.6
2015-02-01 17:00:00,Pacific Ocean,-9.379557928,179.8231664,polystyrene (ps),138.65,30.35
2015-02-01 18:00:00,Arctic Ocean,-34.33160182,37.80885499,polyethylene terephthalate (pet),320.62,26.07
2015-02-01 19:00:00,Atlantic Ocean,0.431735012,127.3423097,polystyrene (ps),441.08,21.14
2015-02-01 20:00:00,Atlantic Ocean,-29.0376712,-156.0021252,polystyrene (ps),308.73,31.69
2015-02-01 21:00:00,Pacific Ocean,46.26213619,-39.79757574,polyvinyl chloride (pvc),488.53,96.54
2015-02-01 22:00:00,Atlantic Ocean,7.900865369,61.07440403,polyethylene (pe),111.53,85.77
2015-02-01 23:00:00,Southern Ocean,67.83259935,-141.6838613,polyethylene terephthalate (pet),412.96,60.14
2015-03-01 00:00:00,Atlantic Ocean,7.837904637,-3.994978085,polyvinyl chloride (pvc),463.64,80.05
2015-03-01 01:00:00,Arctic Ocean,-47.1127656,-20.63596516,polystyrene (ps),213.56,1.47
2015-03-01 02:00:00,Arctic Ocean,63.1965388,-102.2255192,polyvinyl chloride (pvc),481.0,11.15
2015-03-01 03:00:00,Arctic Ocean,10.29942809,-71.90285909,polyvinyl chloride (pvc),101.15,29.25
2015-03-01 04:00:00,Arctic Ocean,-52.76861313,168.1626076,polystyrene (ps),476.42,64.39
2015-03-01 05:00:00,Southern Ocean,22.23140579,-76.08654504,polyethylene terephthalate (pet),451.41,88.34
2015-03-01 06:00:00,Indian Ocean,-25.61098231,-103.1665918,polypropylene (pp),33.17,23.11
2015-03-01 07:00:00,Pacific Ocean,61.99301021,13.03530158,polyvinyl chloride (pvc),260.71,13.92
2015-03-01 08:00:00,Arctic Ocean,-8.406047044,61.54489227,polyethylene (pe),264.47,84.79
2015-03-01 09:00:00,Atlantic Ocean,40.75944446,81.03351999,polystyrene (ps),28.58,40.91
2015-03-01 10:00:00,Arctic Ocean,-72.80348263,91.52898642,polypropylene (pp),19.86,69.95
2015-03-01 11:00:00,Atlantic Ocean,-18.71561767,-166.7403031,polyvinyl chloride (pvc),2.65,54.8
2015-03-01 12:00:00,Atlantic Ocean,86.98345857,-38.24625586,polystyrene (ps),262.3,17.59
2015-03-01 13:00:00,Arctic Ocean,55.52285211,98.62490872,polystyrene (ps),231.96,70.06
2015-03-01 14:00:00,Southern Ocean,-61.21065557,145.7467566,polyvinyl chloride (pvc),470.24,42.08
2015-03-01 15:00:00,Atlantic Ocean,-40.00247109,36.7920444,polyethylene (pe),171.22,28.77
2015-03-01 16:00:00,Atlantic Ocean,-30.63315441,-161.1695327,polystyrene (ps),329.15,90.27
2015-03-01 17:00:00,Arctic Ocean,27.06580089,-37.20750989,polystyrene (ps),3.88,0.6
2015-03-01 18:00:00,Atlantic Ocean,46.25905671,-153.2782383,polyvinyl chloride (pvc),331.8,40.49
2015-03-01 19:00:00,Atlantic Ocean,44.91478959,89.47363057,polypropylene (pp),456.74,30.05
2015-03-01 20:00:00,Arctic Ocean,1.777330135,-157.1380311,polystyrene (ps),177.45,5.45
2015-03-01 21:00:00,Arctic Ocean,55.94769681,-113.136816,polystyrene (ps),157.1,8.04
2015-03-01 22:00:00,Pacific Ocean,-11.3259451,-29.89496737,polyvinyl chloride (pvc),313.05,17.23
2015-03-01 23:00:00,Southern Ocean,-67.70149825,-13.44658784,polystyrene (ps),164.34,50.5
2015-04-01 00:00:00,Southern Ocean,11.5995315,-33.66658789,polyvinyl chloride (pvc),201.27,28.26
2015-04-01 01:00:00,Atlantic Ocean,81.41424923,-13.17720722,polyethylene (pe),136.63,83.79
2015-04-01 02:00:00,Southern Ocean,52.73885725,76.76609473,polyvinyl chloride (pvc),172.51,24.0
2015-04-01 03:00:00,Atlantic Ocean,14.16611658,-47.06322374,polypropylene (pp),339.74,72.02
2015-04-01 04:00:00,Pacific Ocean,26.42501886,17.19016529,polystyrene (ps),461.2,21.04
2015-04-01 05:00:00,Arctic Ocean,77.50116487,-70.78706729,polyethylene (pe),291.6,4.26
2015-04-01 06:00:00,Arctic Ocean,-12.898297,-52.69410177,polystyrene (ps),5.12,26.46
2015-04-01 07:00:00,Arctic Ocean,-30.34905499,40.96762526,polystyrene (ps),132.02,83.76
2015-04-01 08:00:00,Southern Ocean,85.9034817,-3.421925411,polyvinyl chloride (pvc),476.12,8.23
2015-04-01 09:00:00,Pacific Ocean,65.41976403,80.29306615,polystyrene (ps),455.17,34.45
2015-04-01 10:00:00,Southern Ocean,-31.85215477,21.7938917,polyethylene (pe),57.91,0.8
2015-04-01 11:00:00,Southern Ocean,-6.519492475,109.2866707,polyethylene terephthalate (pet),454.22,63.02
2015-04-01 12:00:00,Pacific Ocean,-15.28593678,-20.37304332,polystyrene (ps),482.27,94.28
2015-04-01 13:00:00,Pacific Ocean,-63.16277784,-3.227896848,polyvinyl chloride (pvc),162.35,38.44
2015-04-01 14:00:00,Pacific Ocean,82.40747829,61.1896856,polypropylene (pp),350.53,57.69
2015-04-01 15:00:00,Pacific Ocean,-17.22376238,-100.35218,polystyrene (ps),280.04,45.23
2015-04-01 16:00:00,Arctic Ocean,67.55923487,-41.0653667,polyvinyl chloride (pvc),168.59,97.33
2015-04-01 17:00:00,Indian Ocean,-55.91587902,44.94284784,polystyrene (ps),76.75,73.6
2015-04-01 18:00:00,Indian Ocean,8.616745915,-169.6045431,polyethylene terephthalate (pet),183.52,4.42
2015-04-01 19:00:00,Pacific Ocean,-85.68695068,-22.69028389,polyethylene terephthalate (pet),463.91,10.87
2015-04-01 20:00:00,Indian Ocean,47.55968709,35.58597707,polyethylene (pe),405.64,47.05
2015-04-01 21:00:00,Indian Ocean,14.56450168,168.2551915,polyethylene terephthalate (pet),165.4,63.17
2015-04-01 22:00:00,Pacific Ocean,22.60612502,135.7259622,polyvinyl chloride (pvc),273.88,29.04
2015-04-01 23:00:00,Indian Ocean,-80.69024114,-78.93289694,polyethylene terephthalate (pet),203.04,67.46
2015-05-01 00:00:00,Southern Ocean,-52.01310056,2.59563745,polyvinyl chloride (pvc),233.17,57.65
2015-05-01 01:00:00,Atlantic Ocean,-76.62044298,-159.6908258,polystyrene (ps),380.63,43.51
2015-05-01 02:00:00,Atlantic Ocean,-37.99542316,-93.32841067,polyethylene (pe),271.55,58.23
2015-05-01 03:00:00,Pacific Ocean,22.93902138,98.9481125,polyethylene (pe),90.6,91.65
2015-05-01 04:00:00,Arctic Ocean,11.91347718,-135.6069556,polyethylene terephthalate (pet),134.59,24.32
2015-05-01 05:00:00,Pacific Ocean,20.18696789,-87.23141106,polypropylene (pp),283.94,79.12
2015-05-01 06:00:00,Arctic Ocean,8.865228848,159.8553006,polyethylene terephthalate (pet),346.44,1.2
2015-05-01 07:00:00,Atlantic Ocean,-40.85481678,116.5880882,polypropylene (pp),254.11,8.48
2015-05-01 08:00:00,Pacific Ocean,-45.98865048,101.4579766,polyethylene terephthalate (pet),310.14,94.97
2015-05-01 09:00:00,Southern Ocean,-65.32925696,131.2406965,polyvinyl chloride (pvc),394.71,69.77
2015-05-01 10:00:00,Indian Ocean,62.83275748,89.85804717,polyvinyl chloride (pvc),272.74,63.33
2015-05-01 11:00:00,Arctic Ocean,20.96628454,-136.5889622,polypropylene (pp),488.6,33.41
2015-05-01 12:00:00,Indian Ocean,-56.42801775,5.962077535,polyethylene (pe),117.86,18.43
